,,,,12 Team,,,14 Team,10 Team,,AAV,Health Report,,
Rank,Name,Team,Pos,Fantrax,MFL,NFFC,MFL,MFL,NFFC,MFL,Status,Injury,fp_PPR
103,Joe Burrow,CIN,QB,110.95,-,106.58,-,71.2,103.35,$2.66 ,,,
104,James Conner,ARI,RB,100.81,-,107.09,121.2,72,114.06,$4.20 ,,,
105,Curtis Samuel,WAS,WR,110.99,-,107.36,-,-,112.48,$3.92 ,Ques,Hamstring,
106,Mike Williams,LAC,WR,113.65,-,107.61,121.8,29,104.75,$2.90 ,,,
107,Marquise Brown,BAL,WR,121.44,-,108.67,104.2,-,102.88,$1.64 ,,,
108,Corey Davis,NYJ,WR,104.41,-,108.94,76.8,-,108.67,$4.58 ,IR,Groin,
109,Gus Edwards,BAL,RB,106.23,-,109.24,-,-,109.94,$11.40 ,IR,Knee - ACL,
110,Michael Gallup,DAL,WR,106.85,-,109.6,127,-,108.18,$2.49 ,Ques,Knee - ACL,
111,Tyler Higbee,LAR,TE,118.18,-,111.5,101,-,107.22,$4.12 ,IR,Knee - MCL,
112,Robert Tonyan,GB,TE,106.08,-,111.72,79.6,-,109.28,$5.40 ,IR,Knee - ACL,
113,Jamaal Williams,DET,RB,116.41,-,112.27,-,-,112.76,$2.26 ,,,
114,Darnell Mooney,CHI,WR,125.36,-,113.7,-,-,110.67,$4.11 ,,,
115,Tony Pollard,DAL,RB,120.74,-,115.45,-,-,119.3,$2.55 ,,,
116,Mecole Hardman,KC,WR,126.28,-,120.01,-,-,117.61,$3.53 ,,,
117,David Johnson,HOU,RB,118.24,-,121.39,-,-,128.99,$4.06 ,,,
118,Nyheim Hines,IND,RB,122.37,-,122.34,96.4,-,127.11,$2.99 ,,,
119,Trevor Lawrence,JAX,QB,131.4,-,123.17,89.8,-,119.91,$4.78 ,,,
120,Mike Gesicki,MIA,TE,130.47,-,123.52,111.8,-,115.13,$4.54 ,,,
121,Devin Singletary,BUF,RB,114.34,-,124.12,95.8,-,130.8,$3.88 ,,,
122,Marvin Jones,JAX,WR,125.19,-,124.17,135.4,-,123.28,$2.98 ,,,
123,Travis Etienne,JAX,RB,999,-,127.72,-,-,122.5,$6.17 ,IR,Foot,
